first,last,pos,value,id,OBP,SLG,R,HR,RBI,SB,G,AB,H,2B,3B,CS,BB,SO,IBB,HBP,SH,SF,GIDP,age,years played,weight,height
Adam,Conley,P,-31.6282794236,conlead01,0.2222222222222222,0.2222222222222222,0,0,1,0,15,18,4,0,0,0,0,8,0,0,4,0,0,25,0,185,75
Tim,Cooney,P,-31.0325388675,cooneti01,0.3,0.4,1,0,0,0,6,10,3,1,0,0,0,0,0,0,1,0,0,25,0,195,75
Patrick,Corbin,P,-31.0343353929,corbipa01,0.21428571428571427,0.12,1,0,3,0,16,25,3,0,0,0,3,11,0,0,1,0,1,26,3,210,75
Kevin,Correia,P,-31.6287366395,correke01,0.16666666666666666,0.16666666666666666,0,0,0,0,5,6,1,0,0,0,0,1,0,0,1,0,0,35,12,200,75
Jarred,Cosart,P,-31.6296241761,cosarja01,0.058823529411764705,0.058823529411764705,0,0,1,0,15,17,1,0,0,0,0,8,0,0,1,0,0,25,2,195,75
Daniel,Coulombe,P,-31.6301082871,couloda01,0.0,0.0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,26,1,190,70
Zack,Cozart,SS,-9.45361127054,cozarza01,0.30985915492957744,0.4587628865979381,28,9,28,3,53,194,50,10,1,3,14,29,1,2,1,3,4,30,4,195,72
Tyler,Cravy,P,-31.6301082871,cravyty01,0.0,0.0,0,0,0,0,14,8,0,0,0,0,0,3,0,0,2,0,0,26,0,210,74
Brandon,Crawford,SS,19.9124010014,crawfbr01,0.32085561497326204,0.46153846153846156,65,21,84,6,143,507,130,33,4,4,39,119,9,11,0,4,18,28,4,215,74
Carl,Crawford,OF,-17.8748011801,crawfca02,0.3036649214659686,0.40331491712707185,19,4,16,10,69,181,48,9,2,2,10,41,1,0,0,0,3,34,13,230,74
Tony,Cruz,3B,-26.8325159379,cruzto03,0.2348993288590604,0.30985915492957744,6,2,11,0,69,142,29,7,1,0,6,32,0,0,2,1,6,29,4,215,71
Michael,Cuddyer,OF,0.672626869894,cuddymi01,0.3088235294117647,0.39050131926121373,44,10,41,2,117,379,98,18,1,0,24,88,0,4,0,1,13,36,14,220,74
Johnny,Cueto,P,-31.034177224,cuetojo01,0.18421052631578946,0.16216216216216217,1,0,0,0,19,37,6,0,0,0,1,10,0,0,5,0,0,29,7,220,71
Todd,Cunningham,OF,-23.8988704565,cunnito01,0.27956989247311825,0.26744186046511625,13,0,4,2,39,86,19,4,0,1,5,17,1,2,0,0,1,26,2,205,72
Jordan,Danks,OF,-31.6301082871,danksjo02,0.0,0.0,0,0,0,0,4,4,0,0,0,0,0,2,0,0,0,0,0,29,3,220,77
Chase,d'Arnaud,SS,-30.4387979499,darnach01,0.2222222222222222,0.29411764705882354,2,0,0,0,11,17,3,0,1,1,1,7,0,0,0,0,0,28,4,205,73
Travis,d'Arnaud,C,-5.82776016895,darnatr01,0.33955223880597013,0.48535564853556484,31,12,41,0,67,239,64,14,1,0,23,49,0,4,0,2,7,26,2,210,74
Zach,Davies,P,-31.0349363641,davieza01,0.07692307692307693,0.07692307692307693,1,0,0,0,6,13,1,0,0,0,0,3,0,0,1,0,0,22,0,160,72
Khris,Davis,OF,17.0567382982,daviskh01,0.32272727272727275,0.5051020408163265,54,27,66,6,121,392,97,16,2,2,44,122,1,1,0,3,9,28,2,195,70
Alejandro,De Aza,OF,-24.4926058834,deazaal01,0.38666666666666666,0.36065573770491804,12,0,3,2,24,61,16,4,1,2,12,14,0,1,0,1,3,31,8,195,72
Cody,Decker,1B,-31.6301082871,deckeco01,0.0,0.0,0,0,1,0,8,11,0,0,0,0,0,5,0,0,0,1,1,28,0,225,71
Jaff,Decker,OF,-26.871021433,deckeja01,0.37142857142857144,0.32142857142857145,8,0,1,0,23,28,6,1,1,0,7,9,0,0,1,0,0,25,2,190,69
Justin,De Fratus,P,-31.6273649919,defraju01,0.3333333333333333,0.3333333333333333,0,0,0,0,61,3,1,0,0,0,0,1,0,0,0,0,0,28,4,225,76
Jacob,deGrom,P,-29.8447592527,degroja01,0.22580645161290322,0.2033898305084746,3,0,4,0,31,59,11,1,0,0,3,16,0,0,4,0,4,27,1,180,76
Ivan,De Jesus,OF,-20.2531074149,dejesiv02,0.3108108108108108,0.373134328358209,15,4,28,0,76,201,49,10,2,2,19,55,0,1,0,1,3,28,4,200,71
Jorge,De La Rosa,P,-31.6295939192,delarjo01,0.0625,0.0625,0,0,3,0,26,48,3,0,0,0,0,18,0,0,2,0,1,34,11,215,73
Rubby,De La Rosa,P,-29.8457201707,delarru01,0.09375,0.09375,3,0,2,0,32,64,6,0,0,0,0,25,0,0,4,0,0,26,4,225,73
Randall,Delgado,P,-31.6301082871,delgara01,0.0,0.0,0,0,0,0,64,1,0,0,0,0,0,1,0,0,1,0,0,25,4,220,76
Matt,den Dekker,OF,-21.4220836019,dendema01,0.3148148148148148,0.48484848484848486,12,5,12,0,55,99,25,6,1,1,9,20,0,0,2,0,0,28,2,210,73
Chris,Denorfia,OF,-19.0834753203,denorch01,0.31877729257641924,0.37264150943396224,18,3,18,0,103,212,57,11,1,1,15,56,1,1,2,1,7,35,10,195,72
Daniel,Descalso,OF,-15.4776799072,descada01,0.28292682926829266,0.32432432432432434,22,5,22,1,101,185,38,3,2,2,20,45,6,0,4,0,3,29,5,190,70
Anthony,DeSclafani,P,-31.0340952428,desclan01,0.1935483870967742,0.1724137931034483,1,0,3,0,31,58,9,1,0,0,3,33,0,0,2,1,0,25,1,190,73
Ian,Desmond,SS,21.062035876,desmoia01,0.28976377952755905,0.38421955403087477,69,19,62,13,156,583,136,27,2,5,45,187,0,3,6,4,9,30,6,215,75
Odrisamer,Despaigne,P,-31.6292937304,despaod01,0.0967741935483871,0.1,0,0,0,0,34,30,2,1,0,0,1,11,0,0,3,0,1,28,1,205,72
Ross,Detwiler,P,-31.6301082871,detwiro01,0.0,0.0,0,0,0,0,24,1,0,0,0,0,0,1,0,0,0,0,0,29,8,215,75
?,?,?,-31.6301082871,diazel01,0.0,0.0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,25,0,210,72
Alex,Dickerson,OF,-31.6280508157,dickeal01,0.25,0.25,0,0,0,0,11,8,2,0,0,0,0,3,0,0,0,0,1,25,0,230,75
Corey,Dickerson,OF,-7.65003751758,dickeco01,0.3333333333333333,0.5357142857142857,30,10,31,0,65,224,68,18,2,1,10,56,0,0,0,0,3,26,2,205,73
Derek,Dietrich,OF,-2.89414118968,dietrde01,0.3460207612456747,0.456,38,10,24,0,90,250,64,14,3,2,23,65,2,13,0,3,4,26,2,210,72
Wilmer,Difo,2B,-31.0340730894,difowi01,0.18181818181818182,0.18181818181818182,1,0,0,0,15,11,2,0,0,0,0,2,0,0,0,0,0,23,0,195,72
Chris,Dominguez,OF,-29.8234160839,dominch01,0.2608695652173913,0.5217391304347826,2,1,3,0,14,23,6,1,1,0,0,12,0,0,0,0,0,29,1,235,76
Danny,Dorn,OF,-31.6284132994,dornda01,0.21875,0.2,0,0,3,0,23,30,5,1,0,0,2,10,0,0,0,0,1,31,0,200,74
Brandon,Drury,SS,-28.6157161247,drurybr01,0.2542372881355932,0.375,3,2,8,0,20,56,12,3,0,0,2,8,0,1,0,0,5,23,0,215,73
Lucas,Duda,1B,24.7857137335,dudalu01,0.351985559566787,0.4861995753715499,67,27,73,0,135,471,115,33,0,2,66,138,7,14,0,3,12,29,5,255,76
Matt,Duffy,SS,21.5206892558,duffyma01,0.3344262295081967,0.42757417102966844,77,12,77,12,149,573,169,28,6,0,30,96,0,5,2,2,22,24,1,170,74
